"LinkID","AveSpeed","SDSpeed","Flow","Idling","CO2","NOx","linkLength"
282,11.7807195571956,0.237732290303344,60,0.0018450184501845,13430.7002,9.1599102,0.07125261257
283,11.4682080924855,0.287275626735863,51,0.00578034682080925,9927.33008,6.75929022,0.05252449063
284,21.0358185840708,0.113277755906116,95,0,12266.9004,8.61332035,0.07525424181
285,20.8728292682927,0.124335683442952,99,0,6900.75977,4.81892014,0.03989823191
286,12.9390820584145,0.398004693950747,102,0,32823,21.8952999,0.06959976571
287,21.0451923076923,0.0986941381860752,97,0,5555.64014,3.88888001,0.03503289698
288,11.6927941176471,0.242966111469845,16,0,4185.62988,2.87258005,0.09950013823
289,12.6907594936709,0.154499258166349,10,0,4733.12988,3.33293009,0.19443319961
290,12.2972749691739,0.225030329456034,30,0.0061652281134402,19201.8008,13.2110004,0.21508757165
291,12.3068965517241,0.136546075202898,7,0,4199.08008,2.98786998,0.32127987555
292,12.5730341880342,0.151714735538604,10,0,4442.00977,3.07961011,0.19394853023
293,18.1810798122066,0.281163727484756,14,0.00938967136150235,5361.83008,3.66662002,0.18717558633
294,16.9375242718447,0.125053315776693,33,0,8511.51953,5.9541502,0.14407108006
295,16.2842937853107,0.143528431066254,100,0.000706214689265537,30542.8008,21.302,0.15647985893
296,16.2656578947368,0.18061865371423,146,0,16939.5,11.8008003,0.05954598293
297,6.6482221393962,1.22516196327626,118,0.403279910547894,57070.1016,38.8956985,0.09895954546
298,19.9686585365854,0.208407214450633,120,0,16944.5996,11.7082996,0.07194233438
299,14.5971719298246,0.358861266145921,158,0,57769.1016,38.7495995,0.09560414206
300,20.7229002079002,0.148361721283201,156,0.00103950103950104,25612.5,17.8684998,0.09187591606
301,12.1321308225966,0.477140167075427,83,0.0307234886025768,39906.1992,26.6993999,0.10169979157
302,12.777962962963,0.18778663693556,8,0.00617283950617284,5820.33984,4.07785988,0.32992935987
303,13.0831818181818,0.321876990105198,94,0,28666.3008,19.2127991,0.06512589451
304,0.973612204724409,2.23488787272109,120,0.635826771653543,6112.7002,4.81461,0.0054680648
305,7.72791897891232,0.75231047593516,135,0.222530521642619,35591.6016,24.6126003,0.068972181
306,11.8632833422603,0.19146994375428,154,0.000535618639528656,46711.6016,32.0130997,0.09925780354
307,17.896130952381,0.332169825129183,78,0.0119047619047619,6013.35986,4.0483799,0.03679759062
308,19.7458672376874,0.194800630936537,70,0.00214132762312634,12943.5,8.97731018,0.0965610534
309,17.176694214876,0.279801568354304,75,0,17459.5,11.8576002,0.08159843972
310,20.6962288135593,0.186511678834032,36,0,7304.18018,5.06548023,0.09843759382
311,13.7850638297872,0.371845170811347,63,0.00425531914893617,10549.5,7.03699017,0.04337790951
312,20.5717753623188,0.0949250629640454,94,0,8029.56982,5.59828997,0.05004522034
